Code,Label,Year,Estimated resident population (no.),Estimated resident population - males (no.),Female_Proportion [Gender_Woman] ,Estimated resident population - females (no.),Age,Median age - males (years),Household Income ,Median age - females (years),Working age population (aged 15-64 years) (no.),Used one method - train (no.),Used one method - tram/light rail (no.),Used one method - bus (no.),Used one method - car (as driver) (no.),Used one method - car (as passenger) (no.),Used one method - taxi or ride-share service (no.),Used one method - truck (no.),Used one method - motor bike/scooter (no.),Used one method - bicycle (no.),Used one method - other (no.),Used one method - walked only (no.),Used one method - total persons (no.),Used more than one method - total persons (no.),"Used at least one form of public transport (train, tram, bus, ferry) (no.)",Travelled to work by car (as a driver or passenger) as at least one method of travel (no.),Worked from home (no.),Method of travel not stated (no.),Total persons employed aged 15 years and over (no.),Group households (no.),Family households (no.),Average household size (no. of persons),Average family size (no. of persons),Married in a registered marriage (no.),Married in a de facto marriage (no.),Not married (no.),Married (%),Never married (%),Widowed (%),Divorced (%),Separated (%),Completed year 12 or equivalent (%),Completed year 10 or equivalent (%),Did not go to school (%),Postgraduate degree (%),Graduate diploma/graduate certificate (%),Bachelor degree (%),Advanced diploma/diploma (%),Certificate (%),Working full-time and studying part-time (%),Working part time and studying part-time (%),Working part-time and studying full-time (%),Working full-time (not studying) (%),Studying full-time (not working) (%),Working full-time and studying full-time (%),Employed (no.),Unemployed (no.),Employee income earners - median age (years),Total employee income ($m),Median employee income ($),Mean employee income ($),$1-$499 per week (%),$500-$999 per week (%),$1000-$1999 per week (%),$2000-$2999 per week (%),$3000 or more per week (%),Nil income (%),Negative income (%),Median equivalised total household income (weekly) ($),$1-$499 per week (%).1,$500-$999 per week (%).1,$1000-$1999 per week (%).1,$2000-$2999 per week (%).1,$3000 or more per week (%).1,Partial income stated (%),All incomes not stated (%)
101021007,Braidwood,2021.0,4332.0,2249.0,48.08402585410896,2083.0,50.599999999999994,49.9,49504.0,51.3,2559.0,115.30800542740842,83.94864048338368,4.0,1107.0,68.0,15.001778304682867,37.0,7.0,7.0,11.0,125.0,1361.0,24.0,3.0,1193.0,411.0,22.0,2013.0,34.0,1160.0,2.2,2.7,1543.0,523.0,1075.0,48.7,29.8,5.3,13.1,3.3,51.4,24.7,0.4,6.1,3.2,14.8,9.6,23.2,4.0,2.3,23.7,5.8,30.6,1.0483039348710992,2013.0,68.0,,,,,26.0,22.2,24.0,7.6,4.2,5.2,1.2,952.0,26.0,22.2,24.0,7.6,4.2,5.5,1.7
101021008,Karabar,2021.0,8548.0,4328.0,49.36827328029948,4220.0,37.55,36.3,63440.0,38.8,5697.0,115.30800542740842,83.94864048338368,31.0,3140.0,280.0,4.0,35.0,36.0,12.0,18.0,49.0,3612.0,36.0,45.0,3452.0,288.0,17.0,4315.0,69.0,2251.0,2.6,3.0,2822.0,798.0,2686.0,44.1,38.6,5.0,8.8,3.4,53.7,22.5,0.6,4.6,2.0,10.6,9.1,22.3,4.5,2.0,26.9,5.3,34.3,1.8,4315.0,198.0,,,,,20.0,20.2,33.2,9.0,3.3,6.6,0.7,1220.0,20.0,20.2,33.2,9.0,3.3,5.5,1.7
101021009,Queanbeyan,2021.0,11375.0,5793.0,49.07252747252747,5582.0,36.9,36.4,62712.0,37.4,7828.0,115.30800542740842,83.94864048338368,140.0,4219.0,354.0,27.0,39.0,64.0,32.0,27.0,203.0,5109.0,92.0,187.0,4651.0,452.0,23.0,6247.0,167.0,2688.0,2.1,2.8,3188.0,1131.0,4253.0,37.7,41.5,6.0,11.0,3.8,61.1,18.3,0.9,9.2,2.5,15.8,9.2,18.8,4.9,1.4,24.2,8.8,32.3,1.6,6247.0,270.0,,,,,18.4,22.7,33.7,9.8,3.1,5.2,0.5,1206.0,18.4,22.7,33.7,9.8,3.1,3.0,1.3
101021010,Queanbeyan - East,2021.0,5097.0,2672.0,47.57700608200903,2425.0,35.900000000000006,36.1,67444.0,35.7,3667.0,115.30800542740842,83.94864048338368,32.0,2057.0,136.0,4.0,20.0,23.0,29.0,13.0,85.0,2408.0,25.0,40.0,2222.0,233.0,7.0,2922.0,95.0,1263.0,2.1,2.8,1523.0,512.0,1903.0,39.3,42.3,3.3,11.1,3.7,65.3,16.8,0.6,9.4,2.8,17.3,9.5,20.4,5.4,3.3,28.3,7.6,37.0,1.0483039348710992,2922.0,108.0,,,,,15.8,20.4,37.3,10.3,4.4,5.3,0.6,1297.0,15.8,20.4,37.3,10.3,4.4,3.6,1.2
101021012,Queanbeyan West - Jerrabomberra,2021.0,12748.0,6390.0,49.874490116096645,6358.0,37.05,36.6,89856.0,37.5,8784.0,115.30800542740842,83.94864048338368,25.0,5242.0,360.0,16.0,49.0,50.0,22.0,21.0,62.0,5843.0,81.0,59.0,5690.0,710.0,16.0,7398.0,70.0,3513.0,2.9,3.1,5134.0,958.0,3377.0,54.8,32.8,2.5,7.2,2.7,70.6,16.6,0.2,10.3,3.7,17.5,10.9,18.8,4.5,1.3,37.9,5.9,36.6,1.3,7398.0,170.0,,,,,14.8,14.9,31.9,16.7,10.9,6.5,0.3,1728.0,14.8,14.9,31.9,16.7,10.9,5.2,1.0
101021610,Googong,2021.0,6254.0,3138.0,49.824112567956504,3116.0,31.3,31.3,96616.0,31.3,4146.0,115.30800542740842,83.94864048338368,21.0,2549.0,138.0,15.001778304682867,14.0,21.0,5.0,9.0,40.0,2798.0,29.0,31.0,2717.0,382.0,13.0,3621.0,18.0,1740.0,3.1,3.2,2555.0,647.0,905.0,62.7,28.9,1.0,5.1,2.4,76.8,11.2,0.3,9.3,4.1,22.2,14.1,19.3,2.6,1.5,32.8,6.8,40.0,1.1,3621.0,58.0,,,,,8.1,10.8,39.5,21.4,9.8,6.0,0.2,1858.0,8.1,10.8,39.5,21.4,9.8,3.6,1.0
101021611,Queanbeyan Surrounds,2021.0,16538.0,8496.0,48.627403555448055,8042.0,42.25,42.4,85072.0,42.1,10851.0,115.30800542740842,83.94864048338368,21.0,5991.0,346.0,15.001778304682867,135.0,45.0,13.0,29.0,149.0,6736.0,107.0,65.0,6438.0,1238.0,37.0,9023.0,62.0,4557.0,2.9,3.0,6955.0,1564.0,3554.0,57.0,30.0,2.7,7.6,2.7,65.4,18.1,0.2,8.8,3.7,17.2,10.9,20.9,6.4,2.4,28.0,6.8,36.7,1.3,9023.0,245.0,,,,,14.9,16.7,31.0,14.6,9.6,6.4,0.5,1636.0,14.9,16.7,31.0,14.6,9.6,6.2,0.9
101031013,Bombala,2021.0,2449.0,1226.0,49.93875051041241,1223.0,49.35,50.0,44408.0,48.7,1394.0,115.30800542740842,83.94864048338368,77.96385542168674,713.0,31.0,15.001778304682867,12.0,4.0,6.0,4.0,64.0,838.0,13.0,238.94394135403192,752.0,147.0,8.0,1104.0,27.0,620.0,2.2,2.7,788.0,280.0,674.0,45.1,32.0,7.1,11.4,4.2,37.2,28.6,0.7,1.7,1.6,9.8,6.6,22.3,2.4624939349830184,1.7434912718204487,15.4,13.7,37.6,1.0483039348710992,1104.0,47.0,,,,,26.0,25.7,24.2,4.4,2.1,5.3,1.2,854.0,26.0,25.7,24.2,4.4,2.1,3.9,2.9
101031014,Cooma,2021.0,6761.0,3471.0,48.66144061529359,3290.0,43.75,40.7,48152.0,46.8,4135.0,115.30800542740842,83.94864048338368,17.0,1924.0,193.0,12.0,23.0,17.0,14.0,13.0,193.0,2402.0,29.0,23.0,2142.0,275.0,20.0,3039.0,88.0,1702.0,2.2,2.8,2122.0,628.0,2128.0,43.2,35.4,7.2,10.4,4.0,44.5,27.3,0.5,3.6,2.0,11.5,8.4,24.2,4.6,2.8,28.7,7.4,24.7,0.9,3039.0,119.0,,,,,24.3,24.6,24.5,6.6,3.0,5.1,0.9,926.0,24.3,24.6,24.5,6.6,3.0,4.3,2.9
101031015,Cooma Surrounds,2021.0,3460.0,1826.0,47.225433526011564,1634.0,49.75,50.2,51324.0,49.3,2117.0,115.30800542740842,83.94864048338368,6.0,1046.0,80.0,15.001778304682867,20.0,12.0,36.42593447161975,13.0,63.0,1242.0,14.0,17.0,1141.0,293.0,11.0,1728.0,14.0,921.0,2.4,2.8,1318.0,337.0,813.0,52.7,28.2,5.3,10.5,3.2,45.1,28.9,0.9140992167101828,3.8,1.8,12.8,8.9,25.5,6.1,4.4,21.7,13.3,35.0,1.0483039348710992,1728.0,45.0,,,,,24.4,21.0,26.8,6.3,4.4,6.3,0.7,987.0,24.4,21.0,26.8,6.3,4.4,6.6,2.0
